patplaqueta,status,organograma_name,material_id,material_name,nota_fiscal,serie_nota_fiscal
156777,Ativo,2768 - ESC FUND TEMPO INT P M CLEONICE BARBOSA DE ALMEIDA,659,MONITOR 19.5 AOC SÉRIE E 20E1H LED WIDE VGA/HDMI,1100,1
156776,Ativo,3112 - ESCOLA DE ENS FUND CORONEL PEDRO SURUAGY,659,MONITOR 19.5 AOC SÉRIE E 20E1H LED WIDE VGA/HDMI,1100,1
